date,type,ticker,vol,price,fee,epoch,transaction cost,inventory,inventory before split,inventory cost,average cost
2024-03-26,buy,VWCE,15.0,117.4,1.25,0,1759.75,178.0,0.0,17632.800000000003,99.06067415730338
2024-04-17,buy,VWCE,13.0,115.56,1.25,0,1501.03,191.0,0.0,19135.08,100.18366492146598
2024-05-23,buy,VWCE,17.0,119.78,1.25,0,2035.01,208.0,0.0,21171.34,101.78528846153846
2024-08-06,buy,VWCE,16.0,115.04,1.33,0,1839.3100000000002,224.0,0.0,23011.98,102.73205357142857
2024-08-06,buy,VWCE,0.4291,115.02,0.0,0,49.355081999999996,224.4291,0.0,23061.335081999998,102.75554766293675
2024-08-26,buy,VWCE,14.7178,122.64,1.25,0,1803.740992,239.14690000000002,0.0,24866.326073999997,103.97929504417576
2024-09-24,buy,VWCE,16.0,124.7,1.25,0,1993.95,255.14690000000002,0.0,26861.526073999998,105.27866916666436
2024-10-29,buy,VWCE,34.0,129.16,2.2,0,4389.24,289.1469,0.0,31252.966073999996,108.08681010932503
2024-11-15,buy,VWCE,12.0,132.1,1.25,0,1583.9499999999998,301.1469,0.0,32838.16607399999,109.04367959291625
2024-11-22,buy,VWCE,89.0,133.9,6.36,0,11910.74,390.1469,0.0,44755.26607399999,114.71388360127939
2024-12-19,buy,VWCE,42.0,133.38,3.0,0,5598.96,432.1469,0.0,50357.22607399999,116.52802802472952
