date,type,ticker,vol,price,fee
12/20/2021,buy,VWCE,15,100.66,1.25
11/12/2021,buy,VWCE,13,103,1.25
10/15/2021,buy,VWCE,9,98.73,1.25
9/15/2021,buy,VWCE,13,97.28,1.25
8/18/2021,buy,VWCE,8,97.2,3
7/19/2021,buy,VWCE,10,94.25,1.25
11/22/2022,buy,VWCE,13,95.85,1.25
10/17/2022,buy,VWCE,9,91.17,1.25
9/15/2022,buy,VWCE,8,96.88,1.25
6/20/2022,buy,VWCE,11,88.66,1.25
5/17/2022,buy,VWCE,1,96.2,1.25
5/17/2022,buy,VWCE,8,96.17,1.25
4/20/2022,buy,VWCE,4,101.7,1.88
3/15/2022,buy,VWCE,21,97.15,1.9
2/16/2022,buy,VWCE,10,99.34,1.25
1/17/2022,buy,VWCE,10,102.68,1.25
5/23/2024,buy,VWCE,17,119.78,1.25
4/17/2024,buy,VWCE,13,115.56,1.25
3/26/2024,buy,VWCE,15,117.4,1.25
8/06/2024,buy,VWCE,16,115.04,1.33
8/06/2024,buy,VWCE,0.4291,115.02,0
8/26/2024,buy,VWCE,14.7178,122.64,1.25
9/24/2024,buy,VWCE,16,124.7,1.25
10/29/2024,buy,VWCE,34,129.16,2.2
11/15/2024,buy,VWCE,12,132.1,1.25
11/22/2024,buy,VWCE,89,133.9,6.36
12/19/2024,buy,VWCE,42,133.38,3
1/15/2025,buy,VWCE,8,133.92,1.25
2/19/2025,buy,VWCE,8,139.42,1.25
2/19/2025,buy,VWCE,15,126.28,1.25
3/19/2025,buy,VWCE,7,127.54,1.25
3/20/2025,buy,VWCE,0.8531,128.32,1.25
4/15/2025,buy,VWCE,5,117.58,1.30
